"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","21/57","173/9410",0.121387283236994,20.0395497414055,19.730947835583,1.25612320511948e-22,4.42155368202057e-20,4.42155368202057e-20,"STAT1/TLR3/IRF7/TNFSF10/OAS3/TRIM25/CASP1/RIGI/IFNB1/RSAD2/OAS1/EIF2AK2/CCL5/PML/MX2/STAT2/OAS2/IFIH1/IRF9/MX1/ADAR",21
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","19/57","180/9410",0.105555555555556,17.4259259259259,17.3699655447689,2.91887445123511e-19,5.13721903417379e-17,5.13721903417379e-17,"STAT1/TLR3/IRF7/OAS3/RIGI/HLA-F/IFNB1/SP100/OAS1/EIF2AK2/TAP1/CCL5/PML/STAT2/OAS2/IFIH1/IRF9/BST2/TAP2",19
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","15/57","156/9410",0.0961538461538462,15.8738191632928,14.6235812869934,1.20484273104264e-14,1.41368213775669e-12,1.41368213775669e-12,"STAT1/TLR3/IRF7/OAS3/IFIT1/RIGI/IFNB1/RSAD2/OAS1/EIF2AK2/MX2/STAT2/OAS2/IRF9/MX1",15
"Human Diseases","Infectious disease: viral","hsa05162","Measles","14/57","136/9410",0.102941176470588,16.9943240454076,14.666804189101,3.99079905185956e-14,3.51190316563641e-12,3.51190316563641e-12,"STAT1/IRF7/OAS3/RIGI/IFNB1/OAS1/EIF2AK2/MX2/STAT2/OAS2/IFIH1/IRF9/MX1/ADAR",14
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","16/57","239/9410",0.0669456066945607,11.0518975262424,12.2877495577358,4.16632828476086e-13,2.93309511247165e-11,2.93309511247165e-11,"STAT1/TLR3/OAS3/CASP1/RIGI/ISG15/IFNB1/OAS1/EIF2AK2/MX2/STAT2/OAS2/IFIH1/IRF9/MX1/ADAR",16
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","14/57","205/9410",0.0682926829268293,11.2742832691485,11.610482397988,1.17419179198439e-11,6.88859184630842e-10,6.88859184630842e-10,"STAT1/IRF7/OAS3/RIGI/ISG15/HLA-F/IFNB1/OAS1/EIF2AK2/TAP1/STAT2/OAS2/IRF9/TAP2",14
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","13/57","187/9410",0.0695187165775401,11.4766863683272,11.2964591683392,5.66178324802184e-11,2.8470681475767e-09,2.8470681475767e-09,"STAT1/IRF7/OAS3/CASP1/IFNB1/OAS1/CCL5/GBP4/STAT2/OAS2/IFI16/IRF9/GBP1",13
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","8/57","72/9410",0.111111111111111,18.3430799220273,11.531856614815,9.66192365959566e-09,4.25124641022209e-07,4.25124641022209e-07,"IRF7/TRIM25/ZNFX1/RIGI/ISG15/IFNB1/IFIH1/ADAR",8
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","8/57","83/9410",0.0963855421686747,15.9120693299514,10.6522087065899,3.02510632862491e-08,1.18315269741774e-06,1.18315269741774e-06,"IRF7/CASP1/RIGI/IFNB1/CCL5/SAMHD1/IFI16/ADAR",8
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","7/57","109/9410",0.0642201834862385,10.601963624658,7.87122230244693,3.78361604241632e-06,0.000126850223099578,0.000126850223099578,"STAT1/TLR3/IRF7/IFNB1/CCL5/STAT2/IRF9",7
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","11/57","333/9410",0.033033033033033,5.45334808492703,6.45908925623605,3.96406947186182e-06,0.000126850223099578,0.000126850223099578,"STAT1/TLR3/ISG15/HLA-F/IFNB1/EIF2AK2/MX2/STAT2/IRF9/OASL/MX1",11
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","8/57","163/9410",0.049079754601227,8.10246475083414,7.14062383674632,5.48299773365931e-06,0.00016083460018734,0.00016083460018734,"STAT1/TLR3/IRF7/RIGI/IFNB1/STAT2/IFIH1/EGR3",8
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","8/57","168/9410",0.0476190476190476,7.86131996658312,7.00507881778341,6.85719099995417e-06,0.000185671633229528,0.000185671633229528,"STAT1/TLR3/TNFSF10/CASP1/IFNB1/EIF2AK2/STAT2/IRF9",8
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","8/57","196/9410",0.0408163265306122,6.73827425707125,6.33751394379429,2.11628692482723e-05,0.000532094998242276,0.000532094998242276,"STAT1/TLR3/IRF7/HLA-F/IFNB1/EIF2AK2/STAT2/IRF9",8
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","7/57","168/9410",0.0416666666666667,6.87865497076023,6.00182495690216,6.36419475454036e-05,0.00149346436906547,0.00149346436906547,"STAT1/IFNL2/IFNB1/IFNL3/STAT2/IFNL1/IRF9",7
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","5/57","105/9410",0.0476190476190476,7.86131996658312,5.51922155625143,0.000415252946854726,0.00913556483080398,0.00913556483080398,"STAT1/CASP1/STAT2/IRF9/EGR3",5
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","4/57","73/9410",0.0547945205479452,9.04590242730113,5.38723855475035,0.000965251695686455,0.0199863880518607,0.0199863880518607,"SAMHD1/MX2/MX1/BST2",4
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","6/57","205/9410",0.0292682926829268,4.83183568677792,4.33017658048324,0.00142953415588938,0.027955334604059,0.027955334604059,"IRF7/HLA-F/SP100/EIF2AK2/IRF9/EGR3",6
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","6/57","214/9410",0.0280373831775701,4.62862764387605,4.19163545442163,0.00177977871889377,0.0329727425816108,0.0329727425816108,"HLA-F/IFNB1/TAP1/SAMHD1/BST2/TAP2",6
